status	SEER_Draw	Stage	coef_a_weibull	sd_a	coef_b_weibull	sd_b	coef_lts_fraction	sd_lts	lb_lts	ub_lts	coef_recur_month	sd_recur	lb_recur	ub_recur
65-74	Anus	III	1.2198106128927786	0.07437785748716576	-4.145858322166806	0.27191388398465915	0.6176874531782328	0.03300324906846353	0.5580575145290785	0.6878995473922376	3.3465545591923764e-4	3.356222263101093e-4	7.869969554760647e-6	0.0012532664819028655
65-74	Anus	IV	1.0319947762968664	0.06089144942953556	-2.9428196044674637	0.20388166082009218	0.1649512126745383	0.03317488484131849	0.1075706104925398	0.23708028664062877	0.001145582597050535	8.611234874671126e-4	7.366040074520947e-5	0.0031277919200102633
75-84	Anus	I	0.9125263066778622	0.10621779269899397	-3.7025678201977366	0.4086503207365081	0.6425907187280051	0.06678325145370707	0.5071784340997398	0.7867710172286354	7.120889061395535e-5	3.169994634318617e-4	3.5668336107866623e-7	0.001201592091221826
75-84	Anus	II	0.7595781617659376	0.07730265075889835	-2.759751788764862	0.32009527068915655	0.6104135920352947	0.06909630366877705	0.4663321773027868	0.7593799471612658	1.693774053587649e-4	4.1050126244093435e-4	1.4346125624938673e-6	0.0015006723515159528
75-84	Anus	III	1.0049095371672079	0.07039927470301632	-3.3468154645026345	0.25531964222382586	0.44003001496793936	0.04572423953118232	0.35731140101852105	0.5372070910910081	4.110452516298133e-4	5.64640171481166e-4	8.601801807758737e-6	0.002027433348810722
75-84	Anus	IV	0.7656565558794686	0.06014129545477453	-1.8962761950972	0.21414881848737097	0.15228935623483875	0.04251608736331637	0.08116207298516315	0.24625411701568134	0.0012550796096671198	9.312822002108169e-4	4.904107732783471e-5	0.003194311083521151
40-54	Bladder	I	1.671565328769324	0.15592450875521405	-5.949010530513616	0.5856192243289016	0.9545003660403073	0.01482963760261915	0.9215906728230098	0.9728454341697709	8.02515348166795e-4	1.1980333553422842e-4	5.467946820372768e-4	0.001008558334092037
40-54	Bladder	II	1.3463421546252001	0.06293028898587576	-4.004968468316521	0.23021488651401728	0.7736040502427792	0.02055493647241813	0.731078452116974	0.8123016195491886	0.0014661769798949668	2.1094392370374316e-4	0.0010536955984302764	0.0018885323980388539
40-54	Bladder	III	1.459033135717061	0.05853171586832277	-4.474542291370428	0.23396107005936248	0.563689517772763	0.029268630819186445	0.508225024824689	0.620883604275616	0.0018888509653312772	3.2881568233918834e-4	0.0013451245553438493	0.0026209420047374303
40-54	Bladder	IV	1.1742757458853004	0.03355741342562634	-2.9300414544535665	0.0974968245978455	0.2136917081961632	0.015940276683375932	0.18320285265400144	0.24493042904614196	0.0030054468877550476	2.998817875287929e-4	0.0022510901576637205	0.0033190977234109262
